account_id,mmr,carry_gpm,carry_xpm,carry_kills,carry_deaths,carry_assists,carry_lh,carry_denies,carry_level,carry_recorded_games,nuker_gpm,nuker_xpm,nuker_kills,nuker_deaths,nuker_assists,nuker_lh,nuker_denies,nuker_level,nuker_recorded_games,initiator_gpm,initiator_xpm,initiator_kills,initiator_deaths,initiator_assists,initiator_lh,initiator_denies,initiator_level,initiator_recorded_games,disabler_gpm,disabler_xpm,disabler_kills,disabler_deaths,disabler_assists,disabler_lh,disabler_denies,disabler_level,disabler_recorded_games,durable_gpm,durable_xpm,durable_kills,durable_deaths,durable_assists,durable_lh,durable_denies,durable_level,durable_recorded_games,escape_gpm,escape_xpm,escape_kills,escape_deaths,escape_assists,escape_lh,escape_denies,escape_level,escape_recorded_games,support_gpm,support_xpm,support_kills,support_deaths,support_assists,support_lh,support_denies,support_level,support_recorded_games,pusher_gpm,pusher_xpm,pusher_kills,pusher_deaths,pusher_assists,pusher_lh,pusher_denies,pusher_level,pusher_recorded_games,jungler_gpm,jungler_xpm,jungler_kills,jungler_deaths,jungler_assists,jungler_lh,jungler_denies,jungler_level,jungler_recorded_games
75018736,3730,509.14084507042253,616.5633802816901,9.28169014084507,7.535211267605634,10.464788732394366,271.76056338028167,23.056338028169016,22.830985915492956,71,322.4,419.26666666666665,4.466666666666667,9.8,12.466666666666667,78.33333333333333,6.066666666666666,19.4,15,409.8888888888889,548.7777777777778,5.777777777777778,8.0,13.777777777777779,133.11111111111111,13.777777777777779,22.0,9,358.1666666666667,468.77777777777777,5.0,9.61111111111111,12.166666666666666,103.11111111111111,10.166666666666666,20.5,18,455.25,546.25,7.125,8.875,12.5,216.375,18.125,22.25,8,508.08620689655174,617.1379310344828,10.086206896551724,7.5344827586206895,10.655172413793103,270.5689655172414,23.32758620689655,22.79310344827586,58,308.07142857142856,398.14285714285717,3.7142857142857144,9.5,12.928571428571429,63.214285714285715,5.357142857142857,19.142857142857142,14,351.0,477.0,8.0,12.0,10.0,136.0,13.0,21.0,1,0,0,0,0,0,0,0,0,0
61530475,3970,525.8918918918919,605.5675675675676,8.135135135135135,5.972972972972973,11.486486486486486,283.4594594594595,15.0,22.513513513513512,37,408.1290322580645,481.4516129032258,6.838709677419355,7.67741935483871,10.96774193548387,203.70967741935485,6.709677419354839,20.129032258064516,31,351.2307692307692,421.0769230769231,6.384615384615385,9.23076923076923,12.846153846153847,153.0,7.153846153846154,18.846153846153847,13,349.9583333333333,411.5416666666667,5.208333333333333,8.791666666666666,12.666666666666666,148.45833333333334,5.25,18.541666666666668,24,387.26666666666665,477.93333333333334,7.6,8.133333333333333,15.066666666666666,182.4,8.2,20.066666666666666,15,506.94117647058823,570.8235294117648,6.470588235294118,5.705882352941177,10.294117647058824,275.47058823529414,14.588235294117647,21.88235294117647,17,358.4583333333333,437.7083333333333,5.708333333333333,8.208333333333334,14.666666666666666,123.0,3.375,19.541666666666668,24,408.3636363636364,431.3636363636364,3.272727272727273,6.818181818181818,10.363636363636363,193.0,6.181818181818182,18.363636363636363,11,453.0,588.0,9.0,6.0,17.0,107.0,3.0,21.0,1
184653853,2197,520.9701492537314,637.0895522388059,12.462686567164178,6.08955223880597,11.029850746268657,250.7462686567164,11.238805970149254,23.119402985074625,67,505.32,634.2,14.4,6.8,13.08,209.64,13.04,23.48,25,507.35714285714283,663.3571428571429,13.0,6.857142857142857,11.0,233.21428571428572,11.214285714285714,23.857142857142858,14,517.6333333333333,654.7,13.733333333333333,6.633333333333334,12.666666666666666,221.83333333333334,12.433333333333334,23.666666666666668,30,485.4,618.3,7.6,6.4,12.8,246.1,6.4,23.4,10,501.67857142857144,631.0357142857143,12.892857142857142,6.321428571428571,9.607142857142858,250.21428571428572,9.392857142857142,23.25,28,0,0,0,0,0,0,0,0,0,525.6,696.4,11.8,6.2,13.4,218.6,12.4,24.6,5,470.0,651.0,13.0,6.0,17.0,175.0,1.0,25.0,1
211150141,1769,656.0540540540541,610.8648648648649,15.18918918918919,7.675675675675675,12.08108108108108,254.59459459459458,8.81081081081081,22.72972972972973,37,588.7777777777778,563.3333333333334,18.166666666666668,8.722222222222221,12.88888888888889,248.38888888888889,10.88888888888889,23.055555555555557,18,458.1578947368421,532.578947368421,13.68421052631579,8.421052631578947,11.526315789473685,103.73684210526316,4.2105263157894735,19.94736842105263,19,450.77777777777777,522.7222222222222,13.166666666666666,8.38888888888889,11.38888888888889,103.66666666666667,3.9444444444444446,19.77777777777778,18,592.48,547.84,13.28,7.84,12.96,201.12,3.96,20.88,25,578.6666666666666,564.4,16.466666666666665,7.933333333333334,15.066666666666666,227.73333333333332,6.2,22.866666666666667,15,456.0,489.0,12.0,11.0,9.0,115.0,9.0,19.0,1,531.3333333333334,578.5,12.666666666666666,7.666666666666667,9.833333333333334,202.83333333333334,6.333333333333333,21.666666666666668,6,489.0,541.6666666666666,10.0,9.666666666666666,13.666666666666666,154.66666666666666,2.0,20.0,3
177689707,4187,479.2957746478873,531.943661971831,8.43661971830986,6.985915492957746,12.19718309859155,216.26760563380282,17.929577464788732,21.239436619718308,71,433.45,510.0,5.8,8.65,15.4,194.35,9.35,21.2,20,407.0,463.59375,7.15625,7.125,12.0625,149.71875,12.375,19.53125,32,397.4054054054054,468.6756756756757,7.135135135135135,7.486486486486487,12.72972972972973,143.83783783783784,11.783783783783784,19.864864864864863,37,411.3157894736842,509.57894736842104,6.7368421052631575,7.421052631578948,13.368421052631579,153.78947368421052,8.789473684210526,20.63157894736842,19,508.6666666666667,618.6666666666666,7.0,4.666666666666667,7.333333333333333,287.3333333333333,27.0,21.333333333333332,3,323.72727272727275,438.72727272727275,3.4545454545454546,7.2727272727272725,16.363636363636363,81.72727272727273,3.4545454545454546,19.818181818181817,11,468.22222222222223,527.0,7.888888888888889,7.777777777777778,15.444444444444445,201.0,9.333333333333334,22.22222222222222,9,413.4,463.2,7.2,8.8,11.8,134.4,4.6,20.6,5
116511652,4117,573.0289855072464,641.2898550724638,10.173913043478262,6.420289855072464,11.101449275362318,284.60869565217394,18.840579710144926,22.681159420289855,69,324.6666666666667,445.0833333333333,4.833333333333333,5.583333333333333,13.666666666666666,67.41666666666667,3.25,18.583333333333332,12,516.3636363636364,613.5,8.818181818181818,6.954545454545454,13.863636363636363,275.27272727272725,13.409090909090908,22.318181818181817,22,503.11538461538464,604.2307692307693,8.807692307692308,6.730769230769231,14.0,241.8846153846154,13.653846153846153,22.26923076923077,26,565.2727272727273,653.3636363636364,9.636363636363637,6.545454545454546,13.954545454545455,302.22727272727275,15.318181818181818,23.045454545454547,22,494.73333333333335,597.8666666666667,8.6,7.066666666666666,15.0,236.06666666666666,9.2,23.133333333333333,15,295.2,419.4,6.4,7.4,18.2,48.4,2.4,20.4,5,385.3,458.7,4.6,4.3,11.6,86.6,8.4,17.4,10,418.0,505.0,9.0,8.0,17.0,114.0,4.0,22.0,1
357419146,3796,593.5818181818182,594.9818181818182,9.927272727272728,4.963636363636364,8.6,253.56363636363636,12.218181818181819,21.69090909090909,55,528.5714285714286,541.4,7.6,5.371428571428571,11.457142857142857,207.4857142857143,6.6,20.914285714285715,35,475.4166666666667,509.0833333333333,7.5,5.416666666666667,17.833333333333332,135.41666666666666,3.5,19.666666666666668,12,511.6216216216216,535.5945945945946,7.405405405405405,5.54054054054054,13.216216216216216,188.54054054054055,5.675675675675675,20.756756756756758,37,577.25,586.75,8.083333333333334,4.583333333333333,9.75,212.45833333333334,11.75,20.916666666666668,24,564.8666666666667,594.3,10.333333333333334,4.866666666666666,9.533333333333333,242.83333333333334,13.166666666666666,22.033333333333335,30,334.0,305.3333333333333,3.0,5.0,11.0,22.0,1.0,13.333333333333334,3,468.1666666666667,528.6666666666666,5.166666666666667,6.166666666666667,14.833333333333334,182.66666666666666,4.333333333333333,20.666666666666668,6,0,0,0,0,0,0,0,0,0
