account_id,mmr,gpm,xpm,kills,deaths,assists,last_hits,denies,level,recorded_games
35462807,3785,403.43956043956047,503.0,6.384615384615385,6.912087912087912,15.56043956043956,139.82417582417582,9.23076923076923,20.86813186813187,91
352035821,3552,420.66,487.77,8.0,8.41,15.95,126.03,4.27,21.2,100
131869039,2995,475.25,595.84,11.26,7.82,11.52,178.36,8.0,22.3,100
145231298,2691,427.8888888888889,513.070707070707,7.121212121212121,8.94949494949495,12.575757575757576,172.23232323232324,6.666666666666667,21.414141414141415,99
33166379,2047,305.56382978723406,407.48936170212767,6.138297872340425,9.393617021276595,18.48936170212766,50.148936170212764,4.585106382978723,20.19148936170213,94
113437661,3655,373.35555555555555,475.55555555555554,7.644444444444445,7.111111111111111,14.8,95.65555555555555,6.855555555555555,20.255555555555556,90
94748701,3899,464.7319587628866,557.4639175257732,6.969072164948454,6.742268041237113,11.742268041237113,203.17525773195877,5.309278350515464,21.649484536082475,97
126399174,4142,415.6595744680851,530.7234042553191,10.297872340425531,6.287234042553192,15.702127659574469,158.04255319148936,4.382978723404255,21.861702127659573,94
103911531,4482,342.3636363636364,371.06060606060606,5.141414141414141,11.01010101010101,16.03030303030303,86.1919191919192,4.101010101010101,17.414141414141415,99
369181540,4539,405.9493670886076,431.36708860759495,7.493670886075949,7.860759493670886,11.658227848101266,131.20253164556962,5.1265822784810124,17.151898734177216,79
145883636,3944,463.26,541.1,7.94,9.6,12.45,172.91,6.04,21.88,100
149119379,2488,471.14,521.98,12.14,10.68,13.81,144.34,4.26,22.14,100
209855501,3637,478.15,547.4,7.14,4.89,11.58,221.99,5.14,20.62,100
43813452,5560,345.09,428.92,7.81,10.02,16.23,59.48,2.94,18.12,100
350501017,3877,483.77,572.42,9.39,7.17,10.2,206.05,7.73,21.46,100
108234549,4795,422.47,523.7,6.47,8.74,13.55,144.16,5.63,19.37,100
197531129,5381,397.28985507246375,493.27536231884056,6.913043478260869,7.782608695652174,12.898550724637682,131.59420289855072,5.043478260869565,19.72463768115942,69
351381454,1750,495.69,608.05,9.79,7.19,9.2,200.34,6.98,22.51,100
114202767,2719,441.36507936507934,475.06349206349205,7.492063492063492,10.46031746031746,14.492063492063492,148.6031746031746,5.444444444444445,21.19047619047619,63
100291244,2846,434.0806451612903,499.96774193548384,8.064516129032258,8.82258064516129,18.338709677419356,124.06451612903226,3.935483870967742,21.048387096774192,62
133095263,1567,419.03,536.1,8.23,8.85,11.98,178.44,4.08,21.84,100
18772284,3077,382.17171717171715,483.62626262626264,6.818181818181818,8.545454545454545,14.06060606060606,161.2929292929293,9.313131313131313,21.03030303030303,99
36436873,2817,343.2121212121212,447.27272727272725,4.353535353535354,7.898989898989899,13.494949494949495,96.87878787878788,3.2525252525252526,19.606060606060606,99
107908068,2310,423.31,568.37,11.2,9.62,13.53,160.74,1.65,22.16,100
291591360,556,379.86206896551727,427.55172413793105,5.879310344827586,8.931034482758621,15.53448275862069,114.98275862068965,3.1379310344827585,19.344827586206897,58
251639592,3035,457.55,546.74,9.03,7.32,11.12,162.36,9.32,20.5,100
107003448,2373,390.04285714285714,520.0285714285715,7.728571428571429,8.028571428571428,15.242857142857142,134.2,6.714285714285714,21.0,70
